Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001528,Male,No,0,Graduate,No,6277,118,360,0,Rural,N
LP001532,Male,Yes,2,Not Graduate,No,2281,113,360,1,Rural,N
LP001535,Male,No,0,Graduate,No,3254,50,360,1,Urban,Y
LP001546,Male,No,0,Graduate,,2980,120,360,1,Rural,Y
LP001560,Male,Yes,0,Not Graduate,No,1863,98,360,1,Semiurban,Y
LP001565,Male,Yes,1,Graduate,No,3089,121,360,0,Semiurban,N
LP001572,Male,Yes,0,Graduate,No,9323,75,180,1,Urban,Y
LP001577,Female,Yes,0,Graduate,No,4583,112,360,1,Rural,N
LP001578,Male,Yes,0,Graduate,No,2439,129,360,1,Rural,Y
LP001579,Male,No,0,Graduate,No,2237,63,480,0,Semiurban,N
LP001581,Male,Yes,0,Not Graduate,,1820,95,360,1,Rural,Y
LP001586,Male,Yes,3+,Not Graduate,No,3522,81,180,1,Rural,N
LP001603,Male,Yes,0,Not Graduate,Yes,4344,87,360,1,Semiurban,N
LP001606,Male,Yes,0,Graduate,No,3497,116,360,1,Rural,Y
LP001608,Male,Yes,2,Graduate,No,2045,101,360,1,Rural,Y
LP001616,Male,Yes,1,Graduate,No,3750,116,360,1,Semiurban,Y
LP001630,Male,No,0,Not Graduate,No,2333,102,480,0,Urban,N
LP001634,Male,No,0,Graduate,No,1916,67,360,,Rural,N
LP001636,Male,Yes,0,Graduate,No,4600,73,180,1,Semiurban,Y
LP001639,Female,Yes,0,Graduate,No,3625,108,360,1,Semiurban,Y
LP001641,Male,Yes,1,Graduate,Yes,2178,66,300,0,Rural,N
LP001643,Male,Yes,0,Graduate,No,2383,58,360,,Rural,Y
LP001653,Male,No,0,Not Graduate,No,4885,48,360,1,Rural,Y
LP001658,Male,No,0,Graduate,No,3858,76,360,1,Semiurban,Y
LP001664,Male,No,0,Graduate,No,4191,120,360,1,Rural,Y
LP001669,Female,No,0,Not Graduate,No,1907,120,,1,Urban,Y
LP001671,Female,Yes,0,Graduate,No,3416,113,360,,Semiurban,Y
LP001674,Male,Yes,1,Not Graduate,No,2600,90,360,1,Semiurban,Y
LP001688,Male,Yes,1,Not Graduate,No,3500,135,360,1,Urban,Y
LP001691,Male,Yes,2,Not Graduate,No,3917,124,360,1,Semiurban,Y
LP001692,Female,No,0,Not Graduate,No,4408,120,360,1,Semiurban,Y
LP001693,Female,No,0,Graduate,No,3244,80,360,1,Urban,Y
LP001698,Male,No,0,Not Graduate,No,3975,55,360,1,Rural,Y
LP001699,Male,No,0,Graduate,No,2479,59,360,1,Urban,Y
LP001702,Male,No,0,Graduate,No,3418,127,360,1,Semiurban,N
LP001711,Male,Yes,3+,Graduate,No,3430,128,360,0,Semiurban,N
LP001715,Male,Yes,3+,Not Graduate,Yes,5703,130,360,1,Rural,Y
LP001716,Male,Yes,0,Graduate,No,3173,137,360,1,Urban,Y
LP001720,Male,Yes,3+,Not Graduate,No,3850,100,360,1,Semiurban,Y
LP001722,Male,Yes,0,Graduate,No,150,135,360,1,Rural,N
LP001726,Male,Yes,0,Graduate,No,3727,131,360,1,Semiurban,Y
LP001732,Male,Yes,2,Graduate,,5000,72,360,0,Semiurban,N
LP001734,Female,Yes,2,Graduate,No,4283,127,360,,Semiurban,Y
LP001736,Male,Yes,0,Graduate,No,2221,60,360,0,Urban,N
LP001743,Male,Yes,2,Graduate,No,4009,116,360,1,Semiurban,Y
LP001744,Male,No,0,Graduate,No,2971,144,360,1,Semiurban,Y
LP001750,Male,Yes,0,Graduate,No,6250,128,360,1,Semiurban,Y
LP001754,Male,Yes,,Not Graduate,Yes,4735,138,360,1,Urban,N
LP001765,Male,Yes,1,Graduate,No,2491,104,360,1,Semiurban,Y
LP001768,Male,Yes,0,Graduate,,3716,42,180,1,Rural,Y
LP001770,Male,No,0,Not Graduate,No,3189,120,,1,Rural,Y
LP001778,Male,Yes,1,Graduate,No,3155,140,360,1,Semiurban,Y
LP001788,Female,No,0,Graduate,Yes,3463,122,360,,Urban,Y
LP001790,Female,No,1,Graduate,No,3812,112,360,1,Rural,Y
LP001792,Male,Yes,1,Graduate,No,3315,96,360,1,Semiurban,Y
LP001798,Male,Yes,2,Graduate,No,5819,120,360,1,Rural,Y
LP001800,Male,Yes,1,Not Graduate,No,2510,140,180,1,Urban,N
LP001807,Male,Yes,2,Graduate,Yes,6250,108,360,1,Rural,Y
LP001811,Male,Yes,0,Not Graduate,No,3406,123,360,1,Semiurban,Y
LP001813,Male,No,0,Graduate,Yes,6050,120,180,1,Urban,N
LP001814,Male,Yes,2,Graduate,No,9703,,360,1,Urban,Y
LP001819,Male,Yes,1,Not Graduate,No,6608,137,180,1,Urban,Y
LP001824,Male,Yes,1,Graduate,No,2882,123,480,1,Semiurban,Y
LP001825,Male,Yes,0,Graduate,No,1809,90,360,1,Urban,Y
LP001836,Female,No,2,Graduate,No,3427,138,360,1,Urban,N
LP001841,Male,No,0,Not Graduate,Yes,2583,104,360,1,Rural,Y
LP001849,Male,No,0,Not Graduate,No,6045,115,360,0,Rural,N
LP001854,Male,Yes,3+,Graduate,No,5250,94,360,1,Urban,N
LP001864,Male,Yes,3+,Not Graduate,No,4931,128,360,,Semiurban,N
LP001868,Male,No,0,Graduate,No,2060,134,360,1,Semiurban,Y
LP001871,Female,No,0,Graduate,No,7200,120,360,1,Rural,Y
LP001872,Male,No,0,Graduate,Yes,5166,128,360,1,Semiurban,Y
LP001877,Male,Yes,2,Graduate,No,4708,150,360,1,Semiurban,Y
LP001883,Female,No,0,Graduate,,3418,135,360,1,Rural,N
LP001884,Female,No,1,Graduate,No,2876,90,360,1,Urban,Y
LP001888,Female,No,0,Graduate,No,3237,30,360,1,Urban,Y
LP001892,Male,No,0,Graduate,No,2833,126,360,1,Rural,Y
LP001894,Male,Yes,0,Graduate,No,2620,150,360,1,Semiurban,Y
LP001896,Male,Yes,2,Graduate,No,3900,90,360,1,Semiurban,Y
LP001900,Male,Yes,1,Graduate,No,2750,115,360,1,Semiurban,Y
LP001904,Male,Yes,0,Graduate,No,3103,80,360,1,Urban,Y
LP001908,Female,Yes,0,Not Graduate,No,4100,124,360,,Rural,Y
LP001914,Male,Yes,0,Graduate,No,3927,112,360,1,Semiurban,Y
LP001915,Male,Yes,2,Graduate,No,2301,78,180,1,Urban,Y
LP001917,Female,No,0,Graduate,No,,54,360,1,Urban,Y
LP001924,Male,No,0,Graduate,No,3158,89,360,1,Rural,Y
LP001925,Female,No,0,Graduate,Yes,2600,99,300,1,Semiurban,N
LP001926,Male,Yes,0,Graduate,No,3704,120,360,1,Rural,Y
LP001931,Female,No,0,Graduate,No,4124,115,360,1,Semiurban,Y
LP001936,Male,Yes,0,Graduate,No,3075,139,360,1,Rural,Y
LP001938,Male,Yes,2,Graduate,No,4400,127,360,0,Semiurban,N
LP001940,Male,Yes,2,Graduate,No,3153,134,360,1,Urban,Y
LP001945,Female,No,,Graduate,No,5417,143,480,0,Urban,N
LP001949,Male,Yes,3+,Graduate,,4416,110,360,1,Urban,Y
LP001954,Female,Yes,1,Graduate,No,4666,135,360,1,Urban,Y
LP001963,Male,Yes,1,Graduate,No,2014,113,360,1,Urban,N
LP001964,Male,Yes,0,Not Graduate,No,1800,93,360,0,Urban,N
LP001972,Male,Yes,,Not Graduate,No,2875,105,360,1,Semiurban,Y
LP001974,Female,No,0,Graduate,No,5000,132,360,1,Rural,Y
LP001977,Male,Yes,1,Graduate,No,1625,96,360,1,Urban,Y
LP001978,Male,No,0,Graduate,No,4000,140,360,1,Rural,Y
LP001993,Female,No,0,Graduate,No,3762,135,360,1,Rural,Y
LP001994,Female,No,0,Graduate,No,2400,104,360,0,Urban,N
LP002002,Female,No,0,Graduate,No,2917,84,360,1,Semiurban,Y
LP002004,Male,No,0,Not Graduate,No,2927,111,360,1,Semiurban,Y
LP002006,Female,No,0,Graduate,No,2507,56,360,1,Rural,Y
LP002008,Male,Yes,2,Graduate,Yes,5746,144,84,,Rural,Y
LP002031,Male,Yes,1,Not Graduate,No,3399,111,180,1,Urban,Y
LP002035,Male,Yes,2,Graduate,No,3717,120,360,1,Semiurban,Y
LP002036,Male,Yes,0,Graduate,No,2058,88,360,,Urban,Y
LP002043,Female,No,1,Graduate,No,3541,112,360,,Semiurban,Y
LP002051,Male,Yes,0,Graduate,No,2400,115,360,1,Semiurban,Y
LP002053,Male,Yes,3+,Graduate,No,4342,124,360,1,Semiurban,Y
LP002055,Female,No,0,Graduate,No,3166,132,360,,Rural,Y
LP002068,Male,No,0,Graduate,No,4917,130,360,0,Rural,Y
LP002086,Female,Yes,0,Graduate,No,4333,110,360,1,Urban,N
LP002087,Female,No,0,Graduate,No,2500,67,360,1,Urban,Y
LP002097,Male,No,1,Graduate,No,4384,117,360,1,Urban,Y
LP002098,Male,No,0,Graduate,No,2935,98,360,1,Semiurban,Y
LP002100,Male,No,,Graduate,No,2833,71,360,1,Urban,Y
LP002106,Male,Yes,,Graduate,Yes,5503,70,,1,Semiurban,Y
LP002114,Female,No,0,Graduate,No,4160,71,360,1,Semiurban,Y
LP002116,Female,No,0,Graduate,No,2378,46,360,1,Rural,N
LP002126,Male,Yes,3+,Not Graduate,No,3173,74,360,1,Semiurban,Y
LP002128,Male,Yes,2,Graduate,,2583,125,360,1,Rural,Y
LP002131,Male,Yes,2,Not Graduate,No,3083,126,360,1,Urban,Y
LP002141,Male,Yes,3+,Graduate,No,2666,95,360,1,Rural,Y
LP002142,Female,Yes,0,Graduate,Yes,5500,105,360,0,Rural,N
LP002143,Female,Yes,0,Graduate,No,2423,130,360,1,Semiurban,Y
LP002144,Female,No,,Graduate,No,3813,116,180,1,Urban,Y
LP002151,Male,Yes,1,Graduate,No,3875,67,360,1,Urban,N
LP002158,Male,Yes,0,Not Graduate,No,3000,100,480,0,Urban,N
LP002161,Female,No,1,Graduate,No,4723,81,360,1,Semiurban,N
LP002175,Male,Yes,0,Graduate,No,4750,130,360,1,Urban,Y
LP002178,Male,Yes,0,Graduate,No,3013,95,300,,Urban,Y
LP002180,Male,No,0,Graduate,Yes,6822,141,360,1,Rural,Y
LP002181,Male,No,0,Not Graduate,No,6216,133,360,1,Rural,N
LP002187,Male,No,0,Graduate,No,2500,96,480,1,Semiurban,N
LP002188,Male,No,0,Graduate,No,5124,124,,0,Rural,N
LP002205,Male,No,1,Graduate,No,3062,111,180,0,Urban,N
LP002209,Female,No,0,Graduate,,2764,110,360,1,Urban,Y
LP002211,Male,Yes,0,Graduate,No,4817,120,180,1,Urban,Y
LP002219,Male,Yes,3+,Graduate,No,8750,130,360,1,Rural,Y
LP002223,Male,Yes,0,Graduate,No,4310,130,360,,Semiurban,Y
LP002224,Male,No,0,Graduate,No,3069,71,480,1,Urban,N
LP002225,Male,Yes,2,Graduate,No,,130,360,1,Urban,Y
LP002226,Male,Yes,0,Graduate,,3333,128,360,1,Semiurban,Y
LP002234,Male,No,0,Graduate,Yes,7167,128,360,1,Urban,Y
LP002236,Male,Yes,2,Graduate,No,4566,100,360,1,Urban,N
LP002237,Male,No,1,Graduate,,3667,113,180,1,Urban,Y
LP002239,Male,No,0,Not Graduate,No,2346,132,360,1,Semiurban,Y
LP002244,Male,Yes,0,Graduate,No,2333,136,360,1,Urban,Y
LP002250,Male,Yes,0,Graduate,No,5488,125,360,1,Rural,Y
LP002263,Male,Yes,0,Graduate,No,2583,120,360,,Urban,Y
LP002265,Male,Yes,2,Not Graduate,No,1993,113,180,1,Semiurban,Y
LP002266,Male,Yes,2,Graduate,No,3100,113,360,1,Urban,Y
LP002272,Male,Yes,2,Graduate,No,3276,135,360,,Semiurban,Y
LP002277,Female,No,0,Graduate,No,3180,71,360,0,Urban,N
LP002281,Male,Yes,0,Graduate,No,3033,95,360,1,Urban,Y
LP002284,Male,No,0,Not Graduate,No,3902,109,360,1,Rural,Y
LP002287,Female,No,0,Graduate,No,1500,103,360,0,Semiurban,N
LP002288,Male,Yes,2,Not Graduate,No,2889,45,180,0,Urban,N
LP002296,Male,No,0,Not Graduate,No,2755,65,300,1,Rural,N
LP002297,Male,No,0,Graduate,No,2500,103,360,1,Semiurban,Y
LP002300,Female,No,0,Not Graduate,No,1963,53,360,1,Semiurban,Y
LP002305,Female,No,0,Graduate,No,4547,115,360,1,Semiurban,Y
LP002308,Male,Yes,0,Not Graduate,No,2167,115,360,1,Urban,Y
LP002314,Female,No,0,Not Graduate,No,2213,66,360,1,Rural,Y
LP002318,Female,No,1,Not Graduate,Yes,3867,62,360,1,Semiurban,N
LP002332,Male,Yes,0,Not Graduate,No,2253,110,360,1,Rural,Y
LP002337,Female,No,0,Graduate,No,2995,60,360,1,Urban,Y
LP002345,Male,Yes,0,Graduate,No,1025,112,360,1,Rural,Y
LP002347,Male,Yes,0,Graduate,No,3246,138,360,1,Semiurban,Y
LP002348,Male,Yes,0,Graduate,No,5829,138,360,1,Rural,Y
LP002357,Female,No,0,Not Graduate,No,2720,80,,0,Urban,N
LP002361,Male,Yes,0,Graduate,No,1820,100,360,1,Urban,Y
LP002362,Male,Yes,1,Graduate,No,7250,110,,0,Urban,N
LP002366,Male,Yes,0,Graduate,No,2666,121,360,1,Rural,Y
LP002367,Female,No,1,Not Graduate,No,4606,81,360,1,Rural,N
LP002368,Male,Yes,2,Graduate,No,5935,133,360,1,Semiurban,Y
LP002369,Male,Yes,0,Graduate,No,2920,87,360,1,Rural,Y
LP002370,Male,No,0,Not Graduate,No,2717,60,180,1,Urban,Y
LP002377,Female,No,1,Graduate,Yes,8624,150,360,1,Semiurban,Y
LP002379,Male,No,0,Graduate,No,6500,105,360,0,Rural,N
LP002387,Male,Yes,0,Graduate,No,2425,143,360,1,Semiurban,Y
LP002390,Male,No,0,Graduate,No,,100,360,1,Urban,Y
LP002398,Male,No,0,Graduate,No,1926,50,360,1,Semiurban,Y
LP002407,Female,Yes,0,Not Graduate,Yes,7142,,360,1,Rural,Y
LP002418,Male,No,3+,Not Graduate,No,4707,148,360,1,Semiurban,Y
LP002429,Male,Yes,1,Graduate,Yes,3466,130,360,1,Rural,Y
LP002434,Male,Yes,2,Not Graduate,No,4652,110,360,1,Rural,Y
LP002435,Male,Yes,0,Graduate,,3539,55,360,1,Rural,N
LP002443,Male,Yes,2,Graduate,No,3340,150,360,0,Rural,N
LP002446,Male,Yes,2,Not Graduate,No,2309,125,360,0,Rural,N
LP002447,Male,Yes,2,Not Graduate,No,1958,60,300,,Urban,Y
LP002448,Male,Yes,0,Graduate,No,3948,149,360,0,Rural,N
LP002449,Male,Yes,0,Graduate,No,2483,90,180,0,Rural,Y
LP002453,Male,No,0,Graduate,Yes,7085,84,360,1,Semiurban,Y
LP002455,Male,Yes,2,Graduate,No,3859,96,360,1,Semiurban,Y
LP002459,Male,Yes,0,Graduate,No,4301,118,360,1,Urban,Y
LP002472,Male,No,2,Graduate,No,4354,136,360,1,Rural,Y
LP002484,Male,Yes,3+,Graduate,No,7740,128,180,1,Urban,Y
LP002489,Female,No,1,Not Graduate,,5191,132,360,1,Semiurban,Y
LP002493,Male,No,0,Graduate,No,4166,98,360,0,Semiurban,N
LP002494,Male,No,0,Graduate,No,6000,140,360,1,Rural,Y
LP002500,Male,Yes,3+,Not Graduate,No,2947,70,180,0,Urban,N
LP002502,Female,Yes,2,Not Graduate,,210,98,360,1,Semiurban,Y
LP002505,Male,Yes,0,Graduate,No,4333,110,360,1,Urban,N
LP002517,Male,Yes,1,Not Graduate,No,2653,113,180,0,Rural,N
LP002519,Male,Yes,3+,Graduate,No,4691,100,360,1,Semiurban,Y
LP002522,Female,No,0,Graduate,Yes,2500,93,360,,Urban,Y
LP002530,,Yes,2,Graduate,No,2873,132,360,0,Semiurban,N
LP002536,Male,Yes,3+,Not Graduate,No,3095,113,360,1,Rural,Y
LP002537,Male,Yes,0,Graduate,No,2083,128,360,1,Semiurban,Y
LP002544,Male,Yes,1,Not Graduate,No,1958,131,360,1,Rural,Y
LP002545,Male,No,2,Graduate,No,3547,80,360,0,Rural,N
LP002556,Male,No,0,Graduate,No,2435,75,360,1,Urban,N
LP002560,Male,No,0,Not Graduate,No,2699,96,360,,Semiurban,Y
LP002571,Male,No,0,Not Graduate,No,3691,110,360,1,Rural,Y
LP002585,Male,Yes,0,Graduate,No,3597,119,360,0,Rural,N
LP002586,Female,Yes,1,Graduate,No,3326,105,84,1,Semiurban,Y
LP002587,Male,Yes,0,Not Graduate,No,2600,107,360,1,Rural,Y
LP002588,Male,Yes,0,Graduate,No,4625,111,12,,Urban,Y
LP002600,Male,Yes,1,Graduate,Yes,2895,95,360,1,Semiurban,Y
LP002603,Female,No,0,Graduate,No,645,113,480,1,Rural,Y
LP002606,Female,No,0,Graduate,No,3159,100,360,1,Semiurban,Y
LP002618,Male,Yes,1,Not Graduate,No,4050,138,360,,Rural,N
LP002619,Male,Yes,0,Not Graduate,No,3814,124,300,1,Semiurban,Y
LP002625,,No,0,Graduate,No,3583,96,360,1,Urban,N
LP002637,Male,No,0,Not Graduate,No,3598,100,360,1,Rural,N
LP002643,Male,Yes,2,Graduate,No,3283,148,360,1,Urban,Y
LP002648,Male,Yes,0,Graduate,No,2130,70,180,1,Semiurban,N
LP002659,Male,Yes,3+,Graduate,No,3466,150,360,1,Rural,Y
LP002670,Female,Yes,2,Graduate,No,2031,113,480,1,Semiurban,Y
LP002682,Male,Yes,,Not Graduate,No,3074,123,360,0,Semiurban,N
LP002684,Female,No,0,Not Graduate,No,3400,95,360,1,Rural,N
LP002689,Male,Yes,2,Not Graduate,No,2192,45,360,1,Semiurban,Y
LP002690,Male,No,0,Graduate,No,2500,55,360,1,Semiurban,Y
LP002692,Male,Yes,3+,Graduate,Yes,5677,100,360,1,Rural,Y
LP002705,Male,Yes,0,Graduate,No,3775,110,360,1,Semiurban,Y
LP002714,Male,No,1,Not Graduate,No,2679,94,360,1,Semiurban,Y
LP002716,Male,No,0,Not Graduate,No,,130,360,1,Semiurban,Y
LP002720,Male,Yes,3+,Graduate,No,4281,100,360,1,Urban,Y
LP002723,Male,No,2,Graduate,No,3588,110,360,0,Rural,N
LP002732,Male,No,0,Not Graduate,,2550,126,360,1,Rural,Y
LP002738,Male,No,2,Graduate,No,3617,107,360,1,Semiurban,Y
LP002739,Male,Yes,0,Not Graduate,No,2917,66,360,1,Rural,N
LP002741,Female,Yes,1,Graduate,No,4608,140,180,1,Semiurban,Y
LP002743,Female,No,0,Graduate,No,2138,99,360,0,Semiurban,N
LP002753,Female,No,1,Graduate,,3652,95,360,1,Semiurban,Y
LP002755,Male,Yes,1,Not Graduate,No,2239,128,360,1,Urban,Y
LP002757,Female,Yes,0,Not Graduate,No,3017,102,360,,Semiurban,Y
LP002768,Male,No,0,Not Graduate,No,3358,80,36,1,Semiurban,N
LP002772,Male,No,0,Graduate,No,2526,145,360,1,Rural,Y
LP002776,Female,No,0,Graduate,No,5000,103,360,0,Semiurban,N
LP002777,Male,Yes,0,Graduate,No,2785,110,360,1,Rural,Y
LP002789,Male,Yes,0,Graduate,No,3593,132,180,0,Rural,N
LP002792,Male,Yes,1,Graduate,No,5468,26,360,1,Semiurban,Y
LP002794,Female,No,0,Graduate,No,2667,84,360,,Urban,Y
LP002807,Male,Yes,2,Not Graduate,No,3675,108,360,1,Semiurban,Y
LP002821,Male,No,0,Not Graduate,Yes,5800,132,360,1,Semiurban,Y
LP002833,Male,Yes,0,Not Graduate,No,4467,120,360,,Rural,Y
LP002836,Male,No,0,Graduate,No,3333,70,360,1,Urban,Y
LP002837,Male,Yes,3+,Graduate,No,3400,123,360,0,Rural,N
LP002840,Female,No,0,Graduate,No,2378,9,360,1,Urban,N
LP002841,Male,Yes,0,Graduate,No,3166,104,360,0,Urban,N
LP002863,Male,Yes,3+,Graduate,No,6406,150,360,1,Semiurban,N
LP002868,Male,Yes,2,Graduate,No,3159,108,84,1,Urban,Y
LP002872,,Yes,0,Graduate,No,3087,136,360,0,Semiurban,N
LP002874,Male,No,0,Graduate,No,3229,110,360,1,Urban,Y
LP002877,Male,Yes,1,Graduate,No,1782,107,360,1,Rural,Y
LP002893,Male,No,0,Graduate,No,1836,90,360,1,Urban,N
LP002894,Female,Yes,0,Graduate,No,3166,36,360,1,Semiurban,Y
LP002898,Male,Yes,1,Graduate,No,1880,61,360,,Rural,N
LP002911,Male,Yes,1,Graduate,No,2787,146,360,0,Rural,N
LP002916,Male,Yes,0,Graduate,No,2297,104,360,1,Urban,Y
LP002917,Female,No,0,Not Graduate,No,2165,70,360,1,Semiurban,Y
LP002925,,No,0,Graduate,No,,94,360,1,Semiurban,Y
LP002926,Male,Yes,2,Graduate,Yes,2726,106,360,0,Semiurban,N
